energy,code,country,date,value_supply,notes,value_wti,is_turning_point,supply_lag_1,price_lag_1,supply_lag_2,price_lag_2,supply_lag_3,price_lag_3,supply_pct_change,price_pct_change,supply_ma_3,price_ma_3,supply_ma_6,price_ma_6,us_inventory_level,us_inventory_mom_change,us_inventory_5y_percentile,us_inventory_velocity,us_inventory_acceleration,global_inventory_change,inventory_pct_change,inventory_supply_ratio,inventory_trend,inventory_acceleration,inventory_price_ratio,event_type,opec_meeting,opec_meeting_inventory_change,opec_meeting_supply_change,opec_cut,opec_cut_inventory_change,opec_cut_supply_change,opec_maintain,opec_maintain_inventory_change,opec_maintain_supply_change,opec_no_agreement,opec_no_agreement_inventory_change,opec_no_agreement_supply_change,opec_extend,opec_extend_inventory_change,opec_extend_supply_change,opec_increase,opec_increase_inventory_change,opec_increase_supply_change,opec_no_event,opec_no_event_inventory_change,opec_no_event_supply_change,predicted_turning_point
OIL,TPSDKT,SVN,2002-05-31,4.0,3,94.16,0,170.0,94.16,0.0,94.16,0.0,94.16,-0.976470588235294,0.0,58.0,94.16,29.0,94.16,308297,-0.0023848508578344,0.7307692307692307,6032.0,7568.0,0.0,0.0,77074.25,0.0,0.0,3274.1822429906542,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.0,-0.976470588235294,0
OIL,TPSDKT,NZL,2002-05-31,9.0,3,94.16,1,-448.0,94.16,0.0,94.16,-414.0,94.16,-1.0200892857142858,0.0,-146.33333333333334,94.16,-142.16666666666666,94.16,308297,-0.0023848508578344,0.7307692307692307,6032.0,7568.0,0.0,0.0,34255.22222222222,0.0,0.0,3274.1822429906542,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.0,-1.0200892857142858,0
OIL,TPSDKT,TWN,2002-05-31,-169.0,3,94.16,1,-75.0,94.16,0.0,94.16,9.0,94.16,1.2533333333333334,0.0,-81.33333333333333,94.16,-113.83333333333331,94.16,308297,-0.0023848508578344,0.7307692307692307,6032.0,7568.0,0.0,0.0,-1824.242603550296,0.0,0.0,3274.1822429906542,no_event,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,1.2533333333333334,0
OIL,TPSDKT,USA,2003-01-31,1070.0,3,94.16,1,9.0,94.16,0.0,94.16,0.0,94.16,117.88888888888889,0.0,359.6666666666667,94.16,179.83333333333334,94.16,258100,-0.015220020679998,0.0192307692307692,944.0,1452.0,0.0,0.0,241.21495327102804,0.0,0.0,2741.0790144435005,no_event,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,117.88888888888889,0
OIL,TPSDKT,SVN,2003-01-31,4.0,3,94.16,0,1070.0,94.16,9.0,94.16,0.0,94.16,-0.9962616822429906,0.0,361.0,94.16,180.5,94.16,258100,-0.015220020679998,0.0192307692307692,944.0,1452.0,0.0,0.0,64525.0,0.0,0.0,2741.0790144435005,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.0,-0.9962616822429906,0
OIL,TPSDKT,THA,2003-01-31,-414.0,3,94.16,0,-448.0,94.16,0.0,94.16,0.0,94.16,-0.0758928571428571,0.0,-287.3333333333333,94.16,-115.33333333333331,94.16,258100,-0.015220020679998,0.0192307692307692,944.0,1452.0,0.0,0.0,-623.4299516908212,0.0,0.0,2741.0790144435005,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.0,-0.0758928571428571,0
OIL,TPSDKT,THA,2003-02-28,-414.0,3,94.16,0,-17.0,94.16,0.0,94.16,0.0,94.16,23.352941176470587,0.0,-143.66666666666666,94.16,-84.33333333333333,94.16,257500,-0.0023246803564509,0.0269230769230769,1697.0,2731.0,0.0,0.0,-621.9806763285025,0.0,0.0,2734.706881903144,no_event,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,23.352941176470587,0
OIL,TPSDKT,SWE,2003-02-28,-448.0,3,94.16,1,-414.0,94.16,-17.0,94.16,0.0,94.16,0.0821256038647342,0.0,-293.0,94.16,-146.5,94.16,257500,-0.0023246803564509,0.0269230769230769,1697.0,2731.0,0.0,0.0,-574.7767857142857,0.0,0.0,2734.706881903144,no_event,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0.0821256038647342,0
OIL,TPSDKT,NZL,2003-02-28,9.0,3,94.16,1,-448.0,94.16,-414.0,94.16,-17.0,94.16,-1.0200892857142858,0.0,-284.3333333333333,94.16,-145.0,94.16,257500,-0.0023246803564509,0.0269230769230769,1697.0,2731.0,0.0,0.0,28611.11111111111,0.0,0.0,2734.706881903144,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.0,-1.0200892857142858,0
OIL,TPSDKT,TWN,2003-02-28,-169.0,3,94.16,0,9.0,94.16,-448.0,94.16,-414.0,94.16,-19.77777777777778,0.0,-202.66666666666663,94.16,-173.16666666666666,94.16,257500,-0.0023246803564509,0.0269230769230769,1697.0,2731.0,0.0,0.0,-1523.6686390532543,0.0,0.0,2734.706881903144,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.0,-19.77777777777778,0
OIL,TPSDKT,PER,2003-10-31,170.0,3,94.16,1,-414.0,94.16,0.0,94.16,0.0,94.16,-1.4106280193236715,0.0,-81.33333333333333,94.16,-40.666666666666664,94.16,274914,0.0398598965110297,0.3807692307692307,49.0,-3591.0,0.0,0.0,1617.1411764705883,0.0,0.0,2919.6474086661005,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.0,-1.4106280193236715,0
OIL,TPSDKT,USA,2004-04-30,1070.0,3,94.16,1,-75.0,94.16,0.0,94.16,0.0,94.16,-15.266666666666667,0.0,331.6666666666667,94.16,165.83333333333334,94.16,282748,0.0187685334313376,0.5653846153846154,95.0,-3084.0,0.0,0.0,264.2504672897196,0.0,0.0,3002.8462192013594,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.0,-15.266666666666667,0
OIL,TPSDKT,THA,2004-04-30,-414.0,3,94.16,0,-448.0,94.16,0.0,94.16,0.0,94.16,-0.0758928571428571,0.0,-287.3333333333333,94.16,-143.66666666666666,94.16,282748,0.0187685334313376,0.5653846153846154,95.0,-3084.0,0.0,0.0,-682.9661835748792,0.0,0.0,3002.8462192013594,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.0,-0.0758928571428571,0
OIL,TPSDKT,TWN,2004-04-30,-169.0,3,94.16,1,170.0,94.16,0.0,94.16,0.0,94.16,-1.9941176470588236,0.0,0.3333333333333333,94.16,-143.5,94.16,282748,0.0187685334313376,0.5653846153846154,95.0,-3084.0,0.0,0.0,-1673.0650887573966,0.0,0.0,3002.8462192013594,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.0,-1.9941176470588236,0
OIL,TPSDKT,VNM,2004-04-30,-17.0,3,94.16,0,-169.0,94.16,170.0,94.16,0.0,94.16,-0.8994082840236687,0.0,-5.333333333333333,94.16,-71.66666666666667,94.16,282748,0.0187685334313376,0.5653846153846154,95.0,-3084.0,0.0,0.0,-16632.235294117647,0.0,0.0,3002.8462192013594,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.0,-0.8994082840236687,0
OIL,TPSDKT,TWN,2004-12-31,-169.0,3,94.16,1,170.0,94.16,0.0,94.16,-448.0,94.16,-1.9941176470588236,0.0,0.3333333333333333,94.16,-143.5,94.16,275442,-0.0055563377993436,0.5038461538461538,-3219.0,-2360.0,0.0,0.0,-1629.8343195266273,0.0,0.0,2925.254885301614,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.0,-1.9941176470588236,0
OIL,TPSDKT,ZAF,2004-12-31,-75.0,3,94.16,0,-169.0,94.16,170.0,94.16,0.0,94.16,-0.5562130177514792,0.0,-24.666666666666668,94.16,-87.0,94.16,275442,-0.0055563377993436,0.5038461538461538,-3219.0,-2360.0,0.0,0.0,-3672.56,0.0,0.0,2925.254885301614,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.0,-0.5562130177514792,0
OIL,TPSDKT,VNM,2005-09-30,-17.0,3,94.16,0,-31.0,94.16,0.0,94.16,0.0,94.16,-0.4516129032258065,0.0,-16.0,94.16,-13.166666666666666,94.16,289398,-0.0522820380989182,0.6576923076923077,-246.0,2166.0,0.0,0.0,-17023.41176470588,0.0,15965.0,3073.4706881903144,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.0,-0.4516129032258065,0
OIL,TPSDKT,SWE,2005-09-30,-448.0,3,94.16,1,-169.0,94.16,0.0,94.16,0.0,94.16,1.6508875739644973,0.0,-205.66666666666663,94.16,-110.83333333333331,94.16,289398,-0.0522820380989182,0.6576923076923077,-246.0,2166.0,0.0,0.0,-645.9776785714286,0.0,0.0,3073.4706881903144,no_event,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,1.6508875739644973,0
OIL,TPSDKT,NZL,2005-09-30,9.0,3,94.16,1,-448.0,94.16,-169.0,94.16,0.0,94.16,-1.0200892857142858,0.0,-202.66666666666663,94.16,-104.16666666666669,94.16,289398,-0.0522820380989182,0.6576923076923077,-246.0,2166.0,0.0,0.0,32155.333333333332,0.0,0.0,3073.4706881903144,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.0,-1.0200892857142858,0
OIL,TPSDKT,THA,2006-03-31,-414.0,3,94.16,1,170.0,94.16,0.0,94.16,0.0,94.16,-3.4352941176470586,0.0,-81.33333333333333,94.16,-53.166666666666664,94.16,326442,0.0458359363736844,1.0,2110.0,80.0,0.0,0.0,-788.5072463768116,0.0,0.0,3466.886151231946,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.0,-3.4352941176470586,0
OIL,TPSDKT,VNM,2006-06-30,-17.0,3,94.16,1,170.0,94.16,0.0,94.16,0.0,94.16,-1.1,0.0,51.0,94.16,25.5,94.16,325089,-0.0123408405260807,0.95,-2421.0,908.0,0.0,0.0,-19122.882352941175,0.0,0.0,3452.516992353441,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.0,-1.1,0
OIL,TPSDKT,VNM,2007-08-31,-17.0,3,94.16,0,9.0,94.16,0.0,94.16,0.0,94.16,-2.888888888888889,0.0,-2.6666666666666665,94.16,-29.5,94.16,312591,-0.0449024861971297,0.7461538461538462,-3972.0,-486.0,0.0,0.0,-18387.70588235294,0.0,0.0,3319.785471537808,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.0,-2.888888888888889,0
OIL,TPSDKT,SWE,2007-08-31,-448.0,3,94.16,1,-17.0,94.16,9.0,94.16,0.0,94.16,25.352941176470587,0.0,-152.0,94.16,-76.0,94.16,312591,-0.0449024861971297,0.7461538461538462,-3972.0,-486.0,0.0,0.0,-697.7477678571429,0.0,0.0,3319.785471537808,no_event,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,25.352941176470587,0
OIL,TPSDKT,THA,2007-08-31,-414.0,3,94.16,0,-448.0,94.16,-17.0,94.16,9.0,94.16,-0.0758928571428571,0.0,-293.0,94.16,-145.0,94.16,312591,-0.0449024861971297,0.7461538461538462,-3972.0,-486.0,0.0,0.0,-755.0507246376811,0.0,0.0,3319.785471537808,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.0,-0.0758928571428571,0
OIL,TPSDKT,ZAF,2007-08-31,-75.0,3,94.16,1,1070.0,94.16,0.0,94.16,0.0,94.16,-1.0700934579439252,0.0,331.6666666666667,94.16,165.83333333333334,94.16,312591,-0.0449024861971297,0.7461538461538462,-3972.0,-486.0,0.0,0.0,-4167.88,0.0,0.0,3319.785471537808,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.0,-1.0700934579439252,0
OIL,TPSDKT,VNM,2007-11-30,-17.0,3,88.6,1,4.0,88.6,0.0,88.6,478.0,88.6,-5.25,0.0,-4.333333333333333,88.6,77.5,88.6,287895,-0.0256602036706748,0.4423076923076923,-7913.0,-7461.0,0.0,0.0,-16935.0,0.0,0.0,3249.3792325056434,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.0,-5.25,0
OIL,TPSDKT,NZL,2007-11-30,9.0,3,88.6,1,-17.0,88.6,4.0,88.6,0.0,88.6,-1.5294117647058822,0.0,-1.3333333333333333,88.6,79.0,88.6,287895,-0.0256602036706748,0.4423076923076923,-7913.0,-7461.0,0.0,0.0,31988.333333333332,0.0,0.0,3249.3792325056434,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.0,-1.5294117647058822,0
OIL,TPSDKT,THA,2007-11-30,-414.0,3,88.6,1,-169.0,88.6,0.0,88.6,9.0,88.6,1.4497041420118344,0.0,-194.33333333333337,88.6,-97.83333333333331,88.6,287895,-0.0256602036706748,0.4423076923076923,-7913.0,-7461.0,0.0,0.0,-695.3985507246376,0.0,0.0,3249.3792325056434,no_event,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,1.4497041420118344,0
OIL,TPSDKT,PRT,2008-02-29,-31.0,3,101.78,1,478.0,91.67,0.0,91.67,0.0,91.67,-1.0648535564853556,0.1102868986582306,149.0,95.04,74.5,93.355,287785,0.044697827728408,0.4346153846153846,-3056.0,-6287.0,0.0,0.044697827728408,-9283.387096774191,12313.0,12313.0,2827.520141481627,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.044697827728408,-1.0648535564853556,0
OIL,TPSDKT,THA,2008-02-29,-414.0,3,101.78,1,-17.0,101.78,0.0,101.78,0.0,101.78,23.352941176470587,0.0,-143.66666666666666,101.78,-71.83333333333333,101.78,287785,0.044697827728408,0.4346153846153846,-3056.0,-6287.0,0.0,0.0,-695.1328502415458,0.0,0.0,2827.520141481627,no_event,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,23.352941176470587,0
OIL,TPSDKT,USA,2008-10-31,1070.0,3,68.1,1,-169.0,68.1,0.0,68.1,0.0,68.1,-7.331360946745562,0.0,300.3333333333333,68.1,137.66666666666666,73.53333333333333,294444,0.0633125325012999,0.45,54.0,-439.0,0.0,0.0,275.18130841121496,0.0,0.0,4323.700440528634,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.0,-7.331360946745562,0
OIL,TPSDKT,PRT,2008-10-31,-31.0,3,68.1,0,1070.0,68.1,-169.0,68.1,0.0,68.1,-1.0289719626168223,0.0,290.0,68.1,145.0,68.1,294444,0.0633125325012999,0.45,54.0,-439.0,0.0,0.0,-9498.193548387097,0.0,0.0,4323.700440528634,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.0,-1.0289719626168223,0
OIL,TPSDKT,NOR,2008-10-31,478.0,3,68.1,1,4.0,68.1,0.0,68.1,-31.0,68.1,118.5,0.0,160.66666666666666,68.1,225.33333333333337,68.1,294444,0.0633125325012999,0.45,54.0,-439.0,0.0,0.0,615.9916317991632,0.0,0.0,4323.700440528634,no_event,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,118.5,0
OIL,TPSDKT,ZAF,2009-07-31,63.0,3,69.26,1,-376.0,69.26,0.0,69.26,-5.0,69.26,-1.1675531914893618,0.0,-104.33333333333331,69.26,-95.0,69.26,331296,-0.0014708364478094,0.8961538461538462,1670.0,-3482.0,1960.0,0.0,5258.666666666667,0.0,0.0,4783.36702281259,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.0,-1.1675531914893618,0
OIL,TPSDKT,NZL,2009-07-31,-1.0,3,69.26,0,63.0,69.26,-376.0,69.26,0.0,69.26,-1.0158730158730158,0.0,-104.66666666666669,69.26,-53.166666666666664,69.26,331296,-0.0014708364478094,0.8961538461538462,1670.0,-3482.0,1960.0,0.0,-331296.0,0.0,0.0,4783.36702281259,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.0,-1.0158730158730158,0
OIL,TPSDKT,PER,2009-07-31,248.0,3,69.26,1,-27.0,69.26,0.0,69.26,2433.0,69.26,-10.185185185185183,0.0,73.66666666666667,69.26,442.3333333333333,69.26,331296,-0.0014708364478094,0.8961538461538462,1670.0,-3482.0,1960.0,0.0,1335.8709677419354,0.0,0.0,4783.36702281259,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.0,-10.185185185185183,0
OIL,TPSDKT,SVN,2010-04-30,17.0,3,86.07,1,-409.0,86.07,0.0,83.45,0.0,83.45,-1.0415647921760391,0.0,-130.66666666666666,85.19666666666667,-77.66666666666667,84.32333333333334,339942,0.0196648929469143,0.9576923076923076,2755.0,792.0,5142.0,0.0,19996.58823529412,0.0,-6556.0,3949.599163471594,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.0,-1.0415647921760391,0
OIL,TPSDKT,USA,2010-04-30,2210.0,3,86.07,1,-36.0,86.07,0.0,86.07,17.0,86.07,-62.388888888888886,0.0,724.6666666666666,86.07,297.0,85.63333333333333,339942,0.0196648929469143,0.9576923076923076,2755.0,792.0,5142.0,0.0,153.81990950226245,0.0,0.0,3949.599163471594,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.0,-62.388888888888886,0
OIL,TPSDKT,SGP,2010-04-30,2593.0,3,86.07,1,-5.0,86.07,0.0,86.07,0.0,86.07,-519.6,0.0,862.6666666666666,86.07,425.1666666666667,86.07,339942,0.0196648929469143,0.9576923076923076,2755.0,792.0,5142.0,0.0,131.0998843038951,0.0,0.0,3949.599163471594,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.0,-519.6,0
OIL,TPSDKT,PER,2010-04-30,196.0,3,86.07,0,347.0,86.07,0.0,86.07,2593.0,86.07,-0.4351585014409221,0.0,181.0,86.07,521.8333333333334,86.07,339942,0.0196648929469143,0.9576923076923076,2755.0,792.0,5142.0,0.0,1734.3979591836735,0.0,0.0,3949.599163471594,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.0,-0.4351585014409221,0
OIL,TPSDKT,SWE,2010-04-30,88.0,3,86.07,0,196.0,86.07,347.0,86.07,0.0,86.07,-0.5510204081632653,0.0,210.33333333333337,86.07,536.5,86.07,339942,0.0196648929469143,0.9576923076923076,2755.0,792.0,5142.0,0.0,3862.977272727273,0.0,0.0,3949.599163471594,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.0,-0.5510204081632653,0
OIL,TPSDKT,PRT,2010-04-30,-20.0,3,86.07,0,-62.0,86.07,0.0,86.07,0.0,86.07,-0.6774193548387097,0.0,-27.333333333333332,86.07,-13.666666666666666,86.07,339942,0.0196648929469143,0.9576923076923076,2755.0,792.0,5142.0,0.0,-16997.1,0.0,0.0,3949.599163471594,no_event,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,0,0.0,-0.0,1,0.0,-0.6774193548387097,0
OIL,TPSDKT,THA,2010-12-31,-329.0,3,91.38,1,-95.0,91.38,0.0,91.38,-28.0,91.38,2.463157894736842,0.0,-141.33333333333334,91.38,-75.33333333333333,91.38,313918,-0.0730530505701917,0.4153846153846154,-4161.0,-2903.0,2220.0,0.0,-954.1580547112462,0.0,0.0,3435.3031297877,no_event,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,2.463157894736842,0
OIL,TPSDKT,NZL,2010-12-31,-89.0,3,91.38,1,-66.0,91.38,0.0,91.38,0.0,91.38,0.3484848484848484,0.0,-51.666666666666664,91.38,-25.833333333333332,91.38,313918,-0.0730530505701917,0.4153846153846154,-4161.0,-2903.0,2220.0,0.0,-3527.168539325842,0.0,0.0,3435.3031297877,no_event,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0.3484848484848484,0
